Power_dBm	BER	Q_factor
-20.0	2.45e-03	2.65
-19.5	1.78e-03	2.75
-19.0	1.25e-03	2.85
-18.5	8.45e-04	2.95
-18.0	5.67e-04	3.05
-17.5	3.72e-04	3.15
-17.0	2.38e-04	3.25
-16.5	1.48e-04	3.35
-16.0	8.95e-05	3.45
-15.5	5.25e-05	3.55
-15.0	2.98e-05	3.65
-14.5	1.63e-05	3.75
-14.0	8.65e-06	3.85
-13.5	4.42e-06	3.95
-13.0	2.18e-06	4.05
-12.5	1.04e-06	4.15
-12.0	4.78e-07	4.25
-11.5	2.12e-07	4.35
-11.0	9.01e-08	4.45
-10.5	3.67e-08	4.55
-10.0	1.43e-08	4.65
-9.5	5.32e-09	4.75
-9.0	1.88e-09	4.85
-8.5	6.28e-10	4.95
-8.0	1.95e-10	5.05
-7.5	5.67e-11	5.15
-7.0	1.52e-11	5.25
-6.5	3.78e-12	5.35
-6.0	8.65e-13	5.45
-5.5	1.82e-13	5.55
-5.0	3.45e-14	5.65
