Time_ps	Amplitude_V
0.000	0.023
0.156	0.045
0.313	0.067
0.469	0.089
0.625	0.112
0.781	0.134
0.938	0.156
1.094	0.178
1.250	0.201
1.406	0.223
1.563	0.245
1.719	0.267
1.875	0.289
2.031	0.312
2.188	0.334
2.344	0.356
2.500	0.378
2.656	0.401
2.813	0.423
2.969	0.445
3.125	0.467
3.281	0.489
3.438	0.512
3.594	0.534
3.750	0.556
3.906	0.578
4.063	0.601
4.219	0.623
4.375	0.645
4.531	0.667
4.688	0.689
4.844	0.712
5.000	0.734
5.156	0.756
5.313	0.778
5.469	0.801
5.625	0.823
5.781	0.845
5.938	0.867
6.094	0.889
6.250	0.912
6.406	0.934
6.563	0.956
6.719	0.978
6.875	1.001
7.031	1.023
7.188	1.045
7.344	1.067
7.500	1.089
7.656	1.112
7.813	1.134
7.969	1.156
8.125	1.178
8.281	1.201
8.438	1.223
8.594	1.245
8.750	1.267
8.906	1.289
9.063	1.312
9.219	1.334
9.375	1.356
9.531	1.378
9.688	1.401
9.844	1.423
10.000	1.445
